,train/loss,train/accuracy@1,test/loss,test/accuracy@1
0,3.9917932653427126,9.14,4.375701864662073,3.956
1,3.621225380897522,15.32,3.846856785552276,11.042
2,3.4594837760925294,17.57,3.584903890824379,15.414
3,3.2882908391952514,20.32,3.410209128923733,18.194
4,3.1268107151985167,23.12,3.286252899243094,20.392
5,3.060491609573364,24.51,3.1861346743600754,22.19
6,2.976574413776398,26.5,3.0957422049149224,23.702
7,2.8974771547317504,28.28,3.0420821194758503,25.08
8,2.8639823818206787,28.35,2.973138901888562,26.356
9,2.8159395933151243,29.89,2.926700076788588,27.158
10,2.7544525170326235,30.77,2.8865993925372657,27.924
11,2.750145263671875,30.67,2.84917108665037,28.496
12,2.7697891330718996,30.88,2.8079526808560655,29.686
13,2.7380566930770875,30.82,2.7746624903910604,30.15
14,2.6485429906845095,32.75,2.7503376933924684,30.494
15,2.618707051277161,33.81,2.721512604857345,31.136
16,2.6004366993904116,33.68,2.694697145305936,31.696
17,2.5746008348464966,34.35,2.666473193546695,32.048
18,2.572543079853058,34.22,2.632261607348157,32.898
19,2.5955834937095643,34.36,2.62726811801686,32.988
20,2.537941863536835,35.09,2.6071288171021836,33.43
21,2.5616721057891847,34.97,2.5914138814677363,33.786
22,2.51400395154953,35.64,2.5695418463948436,34.094
23,2.468991322517395,36.75,2.5481463460361256,34.586
24,2.5065859174728393,36.35,2.529652032705829,35.15
25,2.4768633794784547,36.95,2.5224497226802893,35.192
26,2.457230408191681,37.15,2.500918143240692,35.416
27,2.4543150520324706,37.26,2.4939640800056555,35.542
28,2.45640819311142,37.13,2.483419503702227,36.026
29,2.456265163421631,37.15,2.4756299714603083,36.03
30,2.429033615589142,37.51,2.4682151957241167,36.32
31,2.536343686580658,35.71,2.4697673326867924,36.258
32,2.4609907722473143,36.78,2.4506639397662617,36.542
33,2.466752197742462,36.19,2.443224465450667,37.004
34,2.385718982219696,38.37,2.4266737202549225,37.084
35,2.3784434723854067,38.6,2.4188672276713965,37.268
36,2.396691349744797,38.02,2.4093946123976844,37.362
37,2.39312072634697,38.38,2.399267978070642,37.64
38,2.424396102428436,37.5,2.3939591301676564,37.96
39,2.3678740453720093,39.17,2.395015859542905,37.498
40,2.282268314361572,41.24,2.2467041015625,41.162
41,2.2805251467227934,41.31,2.2241632996312797,41.65
42,2.274344069957733,41.26,2.213424122546945,42.096
43,2.2616864109039305,41.53,2.210872448008993,41.94
44,2.259434611797333,41.59,2.1960692475823795,42.556
45,2.2704995357990265,41.3,2.1925078438371037,42.26
46,2.267503445148468,41.27,2.1963357571750652,42.254
47,2.254214494228363,41.7,2.1851136431364755,42.42
48,2.25098947763443,41.8,2.179646440479152,42.948
49,2.2612452912330627,41.53,2.182299715478707,42.656
50,2.2529579961299895,41.59,2.1643184210028488,43.084
51,2.251342339515686,41.68,2.152238798873199,43.446
52,2.2507325482368468,41.67,2.154539264986277,43.338
53,2.250158479213715,41.66,2.1580072135266746,43.432
54,2.2506410837173463,41.65,2.1591292601412215,43.27
55,2.250021052360535,41.64,2.157429986902515,43.336
56,2.248800573348999,41.75,2.150226263438954,43.436
57,2.2507076036930083,41.73,2.1527741446214566,43.232
58,2.2505946099758147,41.68,2.154114153988831,43.304
59,2.250283625125885,41.72,2.1499518878624566,43.298
