,train/loss,train/accuracy@1,test/loss,test/accuracy@1
0,3.771324987411499,13.37,4.210387167723282,7.006
1,3.4929069900512695,16.89,3.615949635005668,14.808
2,3.172162082195282,22.55,3.35320656805697,19.27
3,3.0290092968940736,24.95,3.1881843040056546,21.77
4,2.955526657104492,26.35,3.073968673910936,24.262
5,2.8418840384483337,28.58,2.9855286977480135,26.052
6,2.765064618587494,29.93,2.9131967899439584,26.99
7,2.72569575548172,31.22,2.8442633578844387,28.556
8,2.6883079195022583,31.79,2.7958257899564853,29.612
9,2.643041181564331,33.1,2.7658765133079664,30.018
10,2.620952548980713,33.23,2.722282448693005,30.864
11,2.703205761909485,31.37,2.688396027021091,31.784
12,2.599130623340607,33.91,2.6580567756272337,32.43
13,2.545802216529846,34.48,2.6244916909795895,32.614
14,2.5143371176719667,35.4,2.6019948199581915,33.314
15,2.5032326221466064,35.71,2.575382978410062,33.976
16,2.512093970775604,35.07,2.554320184166169,34.408
17,2.507140164375305,35.4,2.5391049000918104,34.842
18,2.480841941833496,35.48,2.5211250342981284,35.036
19,2.505508065223694,35.82,2.498251937539376,35.51
20,2.488814730644226,36.31,2.4807482954791134,35.764
21,2.4023582434654234,38.26,2.4641732291492353,36.274
22,2.412744314670563,37.08,2.44991020778256,36.644
23,2.4387312281131743,37.35,2.4369188977019562,36.732
24,2.4276680517196656,37.73,2.4174925293154117,37.218
25,2.381497416496277,38.09,2.4093483695593636,37.31
26,2.3861767172813417,38.1,2.3954440035173654,37.646
27,2.382968920469284,38.29,2.386073863414852,37.754
28,2.451859588623047,37.28,2.3712028350366654,38.152
29,2.383301541805267,38.2,2.3606353586592026,38.256
30,2.3860620892047884,38.09,2.358509240248014,38.332
31,2.378809566497803,38.12,2.343403586646175,38.838
32,2.3604476749897003,38.89,2.3399697816585334,38.652
33,2.3541384971141817,38.85,2.3298321343443886,38.972
34,2.3466097593307493,38.57,2.328031982912127,38.89
35,2.292780201435089,40.47,2.314235437251723,39.344
36,2.503046271800995,36.0,2.306793402527909,39.664
37,2.314960827827454,40.45,2.305822810553529,39.454
38,2.3168424725532533,39.92,2.3045246497444483,39.386
39,2.2963263630867004,40.19,2.285803475953124,39.792
40,2.202153080701828,42.16,2.1852587949284508,42.13
41,2.1866435301303864,42.61,2.1457402132966026,43.202
42,2.1935722923278806,42.65,2.139103987637688,43.028
43,2.1816005086898804,42.79,2.1349468996457737,43.346
44,2.1894799160957334,42.5,2.1306484309608673,43.354
45,2.1732518434524537,43.01,2.128271910235705,43.644
46,2.1820903754234315,42.98,2.124268884853939,43.582
47,2.175205911397934,43.04,2.1191889581168093,43.78
48,2.174121047258377,43.22,2.1127838603675824,43.928
49,2.1719489336013793,43.12,2.116283227720529,43.806
50,2.167837203741074,43.26,2.1017667579528925,44.0
51,2.1681527268886565,43.26,2.1022876434009095,44.38
52,2.168572700023651,43.19,2.093830812617641,44.466
53,2.167514353990555,43.41,2.08995216429386,44.71
54,2.165023783445358,43.45,2.095964300053199,44.334
55,2.1692441833019256,43.58,2.0898174416378636,44.46
56,2.163531299829483,43.35,2.0913008536829056,44.484
57,2.1685683500766753,43.51,2.0957748234424445,44.522
58,2.1657875192165377,43.58,2.092725193409054,44.504
59,2.164985945224762,43.48,2.0897073242670436,44.546
