,train/loss,train/accuracy@1,test/loss,test/accuracy@1
0,4.014867188930512,8.77,4.396648953942692,3.792
1,3.7073442482948304,13.88,3.9112714263789186,9.866
2,3.4841022229194643,17.02,3.6626887638550585,13.914
3,3.3079113698005678,20.54,3.4691756826532467,17.246
4,3.160366780757904,23.77,3.3343658776539367,19.69
5,3.06806245803833,24.89,3.2338945505869052,21.472
6,3.0042057156562807,26.06,3.143814438139386,23.198
7,2.9743812465667725,26.93,3.065880008365797,24.678
8,2.8531076192855833,28.93,2.995648096284598,25.834
9,2.8375724267959597,29.49,2.94295639455166,26.586
10,2.7549450826644897,30.83,2.8957738358041514,27.674
11,2.783664698600769,30.63,2.8496223416779656,28.706
12,2.7837373781204224,30.09,2.8143148775905598,29.496
13,2.691301712989807,32.31,2.77368428883955,30.218
14,2.725707666873932,31.67,2.747724750157817,30.736
15,2.6958267188072202,31.96,2.717347785944829,31.318
16,2.6175833702087403,33.42,2.694769298329073,31.834
17,2.600822560787201,33.98,2.660686878292152,32.414
18,2.600686891078949,33.93,2.641018490047406,32.702
19,2.5806407499313355,34.58,2.624765875394387,33.188
20,2.5522741985321047,35.25,2.6017172745121715,33.764
21,2.5408632874488832,35.23,2.5934747137377023,33.768
22,2.517460582256317,35.39,2.5788140022541253,33.938
23,2.530549421310425,35.95,2.5567973763741496,34.576
24,2.5468432092666626,34.91,2.5408540064721463,34.79
25,2.4971852111816406,36.31,2.5228820237357295,35.328
26,2.4959688496589663,35.85,2.5043506463775245,35.436
27,2.453475396633148,37.17,2.500636260527784,35.672
28,2.483942050933838,35.94,2.4845734621252853,35.964
29,2.4909588432312013,36.28,2.4759034393998363,35.914
30,2.460443654060364,36.83,2.4709273579785282,36.502
31,2.4218792939186096,37.06,2.4576171578653634,36.506
32,2.4534615731239318,36.81,2.4441693658414096,36.936
33,2.406518294811249,38.09,2.438451070919671,36.79
34,2.4209041106700897,37.65,2.4298078050393888,37.248
35,2.425312975645065,37.63,2.426335395754451,37.04
36,2.4583778619766234,36.85,2.400463992372498,37.578
37,2.4312533211708067,37.29,2.3984549371787653,37.944
38,2.4106844067573547,37.88,2.396201823983351,37.706
39,2.378861577510834,38.84,2.386617729121157,37.94
40,2.291557627916336,40.55,2.235588217940172,41.544
41,2.2850046825408934,40.86,2.212373673458538,42.07
42,2.296182554960251,40.98,2.195304558710064,42.5
43,2.2733147406578063,41.23,2.192923072049075,42.43
44,2.2716785645484925,40.82,2.1841914976954153,42.478
45,2.271034474372864,41.31,2.1801338168361304,42.632
46,2.2690059781074523,41.28,2.1741319748446766,42.898
47,2.2791579282283783,41.46,2.1730720789536186,42.896
48,2.259752595424652,41.4,2.172244378672841,42.808
49,2.263290545940399,41.35,2.163611333998268,43.142
50,2.2542268800735474,41.68,2.144431400177119,43.614
51,2.2508839750289917,41.79,2.1383702078133897,43.726
52,2.2512207877635957,41.75,2.1440321588150377,43.53
53,2.2500301110744476,41.64,2.1428318535885236,43.698
54,2.249247571229935,41.71,2.1368719702181607,43.748
55,2.250006606578827,41.83,2.134784010670069,43.572
56,2.2480847895145417,41.85,2.138012734825349,43.512
57,2.248065941333771,41.78,2.14448618888855,43.352
58,2.2495250618457794,41.79,2.133427091266798,43.696
59,2.246059523820877,41.7,2.139366009961004,43.528
