,train/loss,train/accuracy@1,test/loss,test/accuracy@1
0,3.7075440669059754,14.73,4.16506563732996,7.838
1,3.4038243985176084,18.98,3.6320855891917976,15.022
2,3.172815146446228,23.33,3.3943330192809826,18.642
3,3.0644295167922975,24.4,3.2293929517116693,21.64
4,2.9434510803222658,27.32,3.1157327728808077,23.432
5,2.9469006299972533,26.79,3.018838083652584,25.21
6,2.893238787651062,27.88,2.9360451783670487,26.958
7,2.7875698828697204,30.24,2.86472538304146,28.2
8,2.7318955206871034,31.13,2.81314798145343,29.4
9,2.653317587375641,32.85,2.7625885924414906,30.158
10,2.6234649562835695,33.52,2.720658867560384,31.046
11,2.6540972280502317,32.31,2.6950403418382414,31.64
12,2.657140691280365,33.06,2.66263200620861,32.154
13,2.5594205546379087,34.55,2.6233647692843776,32.824
14,2.542220342159271,35.45,2.6075433337170146,33.73
15,2.52934369802475,34.79,2.5852879831553115,33.958
16,2.454652736186981,36.47,2.5634364545192865,34.15
17,2.480510402917862,36.1,2.546762231060916,34.4
18,2.450929734706879,36.78,2.5171738536766424,35.168
19,2.425858323574066,37.5,2.4994223855645457,35.488
20,2.521191961765289,36.63,2.4921712491213515,35.676
21,2.419696156978607,37.6,2.476076685254226,36.2
22,2.4242562651634216,37.59,2.4612434209155305,36.436
23,2.4386773252487184,37.04,2.4433877809578197,36.878
24,2.43370466709137,37.47,2.430215381905246,36.924
25,2.4114511966705323,37.79,2.4097203754098215,37.192
26,2.370240480899811,37.94,2.404237862438192,37.574
27,2.369120852947235,38.58,2.3951561277174886,37.784
28,2.361539797782898,39.23,2.3805180394740972,37.696
29,2.3424875485897063,39.25,2.3701050034569353,38.124
30,2.3790720546245576,39.12,2.3546684065743175,38.466
31,2.32853880405426,39.6,2.3525402030676528,38.37
32,2.3366837191581724,39.65,2.3379339778514776,38.852
33,2.3391618514060974,39.25,2.333530019616227,38.882
34,2.3390610253810884,39.71,2.3279927407993988,38.754
35,2.309549551010132,39.66,2.316393647047565,39.168
36,2.299280228614807,40.75,2.312158081537622,39.402
37,2.2929423546791075,40.29,2.3000918812763964,39.622
38,2.3507811200618742,39.05,2.307474856486406,39.522
39,2.335244908332825,39.41,2.2887124481713377,39.77
40,2.1849233651161195,42.8,2.1737105803721395,42.48
41,2.188182057142258,42.6,2.1434801594375648,43.244
42,2.184090369939804,42.77,2.135617733306592,43.246
43,2.170424791574478,42.95,2.128439901429979,43.596
44,2.171125409603119,43.04,2.1168078696331403,43.87
45,2.1618210136890412,43.18,2.1153366931564057,43.986
46,2.168361713886261,42.99,2.106212395231437,44.324
47,2.168703258037567,43.28,2.1159133212950527,43.722
48,2.156871266365051,43.1,2.1102214871769975,43.89
49,2.160523377656937,43.27,2.110438947482487,43.902
50,2.1528614366054537,43.26,2.0915387152405955,44.616
51,2.153510563373566,43.42,2.0850480078431346,44.592
52,2.1527813041210173,43.72,2.086618021321114,44.82
53,2.154228949546814,43.75,2.089478915609667,44.732
54,2.151581115722656,43.6,2.084952825475532,44.554
55,2.1560889208316802,43.5,2.0781662418409383,44.4
56,2.1494922995567323,43.59,2.091419391315002,44.48
57,2.1508902609348297,43.77,2.0932755924551687,44.276
58,2.1540448915958406,43.48,2.0820093612231867,44.486
59,2.1532467150688173,43.61,2.0850338103521207,44.47
