,test/loss,test/accuracy@1,train/loss,train/accuracy@1
0,3.4849678468704224,17.6,3.973067590342763,8.944
1,2.978621575832367,25.93,3.29309839238901,19.918
2,2.5717995047569273,33.88,2.8454326558905794,28.416
3,2.3165589225292207,39.14,2.505398567985086,34.758
4,2.1744483661651612,42.53,2.249802042151351,40.34
5,2.016843464374542,45.76,2.041702509841041,44.946
6,1.9444339096546173,47.78,1.8617264690911373,49.158
7,1.8952561485767365,49.7,1.7135663431928592,52.666
8,1.8550946056842803,50.75,1.5898821131347696,55.396
9,1.7612475013732911,52.39,1.473669533839311,58.204
10,1.7244367229938506,53.47,1.36162868439389,61.154
11,1.752832522392273,53.01,1.2697472959528189,63.1
12,1.7387984085083008,54.43,1.1825361245733392,65.348
13,1.6649762177467347,55.08,1.1006139250057738,67.612
14,1.845813170671463,53.94,1.0073204043576174,69.872
15,1.7630250883102416,55.07,0.9418581111351852,71.688
16,1.7490916883945464,55.64,0.8762434568551495,73.372
17,1.7367368197441102,55.64,0.800444209667118,75.19
18,1.6873095977306365,55.96,0.7302174345611612,77.462
19,1.8460978698730468,55.99,0.6571816416347728,79.656
20,1.8222219479084014,55.47,0.6252529105109632,80.56
21,1.9113277518749237,56.11,0.5790455259782884,81.532
22,1.9269128847122192,55.86,0.5241263475259552,83.452
23,1.8309147953987122,55.33,0.48998090712463155,84.514
24,2.0825290632247926,55.91,0.43081892123612603,86.338
25,1.8877962195873261,55.75,0.4071932515067518,87.194
26,1.843673995733261,56.26,0.374735475691688,88.146
27,2.020259656906128,56.62,0.3469744814402612,89.028
28,2.0134458541870117,56.8,0.3271784825474405,89.812
29,1.8276989793777465,56.79,0.3051010471818697,90.306
30,2.2671011865139006,56.26,0.27839511568131653,91.224
31,2.1208529818058013,55.75,0.27625134000387946,91.3
32,1.9840345513820647,57.49,0.2693720123613887,91.822
33,2.0315548300743105,55.89,0.2193535520978596,93.126
34,2.188383318185806,56.69,0.2111950289753392,93.37
35,2.1186228919029237,56.53,0.21616074496218005,93.302
36,1.8951637327671051,57.81,0.21292458802385403,93.366
37,2.113021206855774,56.84,0.19627345784012315,93.9
38,1.9207017421722412,57.17,0.19289917517882174,94.158
39,2.0966235077381135,57.11,0.19593705688519855,93.964
40,2.1051357126235963,59.32,0.07261057044176952,98.004
41,2.203477200269699,60.06,0.04081770625975355,98.938
42,2.263130609989166,59.82,0.03161495503828959,99.222
43,2.285368059873581,59.71,0.02538971306608461,99.336
44,2.259009474515915,60.09,0.020178678343096352,99.54
45,2.398639507293701,60.25,0.01858728443381979,99.554
46,2.418230073451996,60.47,0.016231735830035662,99.664
47,2.3332321465015413,60.23,0.014682231000517411,99.676
48,2.4720358633995057,60.41,0.013986874504557923,99.656
49,2.325743616819382,60.12,0.013417266796955176,99.672
50,2.4601804673671723,60.16,0.012135712269996114,99.736
51,2.5013920962810516,60.24,0.010390945539042792,99.764
52,2.446995894908905,60.22,0.011285944406510047,99.754
53,2.4520045733451843,60.24,0.010218928667509456,99.786
54,2.4951234531402586,60.3,0.010396112798644072,99.772
55,2.483032937049866,60.27,0.009598484494166015,99.792
56,2.4924309039115906,60.25,0.009702525475857985,99.784
57,2.4744397866725922,60.29,0.010127210180641954,99.74
58,2.5074736142158507,60.26,0.00958946400561401,99.814
59,2.5031151950359343,60.26,0.009427027578246506,99.798
