,train/loss,train/accuracy@1,test/loss,test/accuracy@1
0,1.5778716754913331,42.15,1.826624870605176,32.406
1,1.3997558748722077,49.64,1.5611568308242447,43.102
2,1.3133196318149567,53.06,1.4563749004203035,47.372
3,1.2340737330913543,55.86,1.3753960379554182,50.444
4,1.2305158084630967,55.81,1.2906602273511765,53.814
5,1.169276716709137,58.07,1.2241910412488386,56.41
6,1.0827920198440553,61.33,1.186055093165249,57.708
7,1.0680766135454178,62.07,1.147353900820398,58.972
8,1.0505386966466903,62.46,1.094302445268997,61.236
9,0.9750082606077194,65.14,1.0777458643059596,61.684
10,0.9579872089624405,65.89,1.0508923105266699,62.76
11,0.9881959187984467,64.99,1.0298153552252922,63.522
12,0.967382128238678,65.85,1.0166394998655295,63.99
13,0.9458592575788498,66.36,0.9924872459657966,64.96
14,0.9662902325391769,65.78,0.9836608055607438,65.504
15,0.879281970858574,68.9,0.9643754783798667,65.926
16,0.9106276661157608,67.84,0.9580109299296309,66.044
17,0.9025947594642639,68.35,0.94394094407406,66.698
18,0.8889972287416458,68.62,0.9288214388710764,67.14
19,0.8761985194683075,69.14,0.9209771828578256,67.206
20,0.8531752496957778,69.87,0.9094133942633333,68.092
21,0.8533156180381775,69.63,0.8928820553338132,68.334
22,0.8530694705247879,70.22,0.8901873150140124,68.67
23,0.8407206261157989,70.41,0.8848154412206176,68.938
24,0.8385004210472107,70.56,0.868167195021344,69.412
25,0.8252084219455719,71.19,0.8577053722213296,69.744
26,0.801742559671402,72.1,0.8601693251858586,69.8
27,0.8151855063438416,71.75,0.8537031657555524,69.922
28,0.822059479355812,71.12,0.847766396334714,70.07
29,0.7964182734489441,72.18,0.837331365898747,70.676
30,0.7898578894138336,72.39,0.8350240742154134,70.598
31,0.8027508640289307,71.59,0.8321651712707852,70.728
32,0.7950622421503067,72.18,0.8248032055547475,70.95
33,0.7863605445623398,72.3,0.8230290701017355,71.246
34,0.8152921825647355,71.58,0.8159008617596248,71.298
35,0.7797021692991257,72.68,0.8062092988082515,71.702
36,0.7677076679468154,72.94,0.81542657113746,71.322
37,0.7569568574428558,73.29,0.8040342890393094,71.928
38,0.7647970086336136,73.05,0.8009252784502171,72.01
39,0.791707957983017,72.85,0.8013020032811957,72.036
40,0.716500825881958,74.87,0.7281876877903024,74.478
41,0.7090882140398026,75.42,0.7122701502517056,75.046
42,0.7056912964582444,75.25,0.7044770007243242,75.23
43,0.7060986620187759,75.28,0.7038245182817854,75.394
44,0.7044863918423653,75.19,0.6997152053181778,75.426
45,0.7018835720419884,75.6,0.6980267965885074,75.314
46,0.6980493095517158,75.64,0.6904361741926969,75.718
47,0.7001218685507774,75.62,0.6933432940936759,75.648
48,0.7008910989761352,75.77,0.6913306801520345,75.77
49,0.7048776593804359,75.75,0.6885046276747419,75.904
50,0.6963714152574539,75.97,0.6802191172566865,76.062
51,0.6956229943037033,76.03,0.6815611129374151,76.232
52,0.6950269481539726,75.92,0.6757797458592583,76.28
53,0.6954886469244957,75.92,0.6795439607347064,76.078
54,0.695408490896225,75.88,0.6776083865586449,76.206
55,0.6940703943371773,75.94,0.6759720169522269,76.304
56,0.694713267982006,75.91,0.6797201277502357,76.194
57,0.6945865052938461,75.94,0.6779755425575139,76.262
58,0.6941671684384346,76.0,0.6802551468162585,76.11
59,0.6943284168839454,75.89,0.6771894908317214,76.358
