,train/loss,train/accuracy@1,test/loss,test/accuracy@1
0,1.4887909626960754,45.86,1.7056834462963406,37.584
1,1.2762627792358399,54.05,1.450628344665098,47.496
2,1.1883132988214493,57.12,1.3358516528478364,51.81
3,1.1414322578907012,58.77,1.2612380639976248,54.95
4,1.114121724963188,60.06,1.2113486987245663,56.498
5,1.0513493824005127,62.5,1.1701089308389923,58.062
6,1.1162683641910554,59.97,1.140289342311947,59.13
7,1.081361500620842,60.65,1.1182824908315068,60.078
8,1.014822758436203,63.41,1.092086105395461,61.128
9,1.004185049533844,64.11,1.0780377487087494,61.746
10,0.9968155741691589,64.22,1.0568704015153754,62.286
11,1.0016326117515564,64.22,1.0373650270959605,63.098
12,0.9440057879686355,66.45,1.0274094858437852,63.27
13,0.9874496740102768,65.01,1.018414655152489,63.958
14,0.9565444296598434,65.46,0.996599057598797,64.622
15,0.9379871553182602,66.51,0.9948395522659087,64.924
16,0.9224868083000183,67.36,0.9865851271182985,65.276
17,0.9104148763418197,67.8,0.9702635309885225,65.636
18,0.9229138922691346,68.19,0.9659445096769601,66.088
19,0.8980627608299255,67.77,0.9619961874869168,66.22
20,0.8939921706914902,68.37,0.9514476121843928,66.334
21,0.9127422040700912,67.83,0.942047570520045,66.85
22,0.8869754588603973,68.68,0.9364523552262874,66.998
23,0.8751687556505203,69.12,0.9325326705527732,66.988
24,0.8698506468534469,68.95,0.9259327392443977,67.08
25,0.8577116692066192,69.5,0.9141939239733664,67.81
26,0.923076006770134,66.88,0.9125526827924392,67.906
27,0.8689890259504318,69.49,0.9083130752948849,68.102
28,0.8495943683385849,69.89,0.9004777247643532,68.326
29,0.8491978186368943,70.11,0.9048662732934099,68.16
30,0.9225645166635513,67.02,0.9012391023013903,68.122
31,0.8983578592538833,68.01,0.8945632337609215,68.43
32,0.8416564130783081,70.36,0.8885030805912164,68.51
33,0.8306230884790421,70.83,0.8813472094438265,68.814
34,0.843071146607399,69.9,0.8854005713292095,68.77
35,0.9024626791477204,68.21,0.8819077237487754,68.878
36,0.8462361228466034,70.18,0.8712377682366335,69.36
37,0.8150817596912384,71.1,0.8723570481895486,69.294
38,0.8527536249160766,70.04,0.8715909615806912,69.384
39,0.8684974533319473,69.11,0.863799194240814,69.656
40,0.766600393652916,73.11,0.8212618292749995,71.182
41,0.7608410775661468,73.48,0.8063051506991277,71.722
42,0.7575809401273728,73.28,0.7997608826593365,72.086
43,0.7533493721485138,73.56,0.7988262923477251,71.788
44,0.7563310533761978,73.61,0.7961883834560813,71.968
45,0.7513428992033004,73.76,0.7962641841005487,72.104
46,0.7586687612533569,73.18,0.7901525655975732,72.134
47,0.7458977216482162,73.95,0.7889401366186264,72.228
48,0.7483117657899857,73.78,0.7859006464633795,72.234
49,0.7459074783325196,73.92,0.7840573815128687,72.674
50,0.7438168889284134,73.89,0.7793661349874628,72.712
51,0.7428621396422386,74.01,0.7827130546960075,72.53
52,0.7425993150472641,74.03,0.7746463945454649,72.726
53,0.7420087397098541,74.04,0.7793390665517743,72.486
54,0.7422259801626205,74.07,0.7771571008750545,72.65
55,0.7418966197967529,73.99,0.7794492394113175,72.658
56,0.7413600179553032,73.96,0.7764576109473967,73.002
57,0.7427492332458496,73.98,0.7749094191719504,72.764
58,0.7419149059057236,74.06,0.7799382574113128,72.478
59,0.7420616337656974,74.15,0.7737010372874072,72.832
