,train_loss,test_loss,train_acc,test_acc
0,821528.3283441254,13662.6638,10.26,9.74
1,11075697.546503808,237112.1584,9.97,10.28
2,75324825.81472169,2020925.9776,10.185,9.82
3,37332223.04117881,18785.2316,10.145,9.07
4,122328553.46849401,10946948.736,10.16,10.6
5,127294435.21552601,136426.3384,9.991666666666667,9.58
6,79203998.64271395,4561.9433,9.991666666666667,9.87
7,441029192.8457767,1303207404267.1104,10.15,8.92
8,45536655.14652818,11417918.0544,9.915,9.74
9,47334345.53881934,300562586481.4592,10.321666666666667,10.1
10,88084502.67580949,48981.7244,10.201666666666666,10.61
11,35903087.5617742,41801.5116,10.096666666666666,10.32
12,26578586.12430467,1482334.8992,10.318333333333333,12.21
13,4276374.23652308,76760.972,10.175,10.7
14,26188413.95315869,116604.3672,10.041666666666666,14.75
15,74455746.2780061,16329.808,10.135,8.73
16,263688400.16695747,145886.4704,10.096666666666666,11.76
17,1572065.1188371093,7786458.1632,10.29,12.71
18,172708014.04411572,202080.5264,10.158333333333333,9.96
19,22494725.838511042,133192.6552,10.078333333333333,8.22
20,3994818.883816911,170157.0368,9.851666666666667,10.12
21,92008972.73692091,34247.8864,9.853333333333333,13.03
22,51411517.44803138,48246.5332,10.048333333333334,11.36
23,15985468.449750585,48889.0344,10.293333333333333,6.49
24,601146732.5555959,600611.744,10.118333333333334,11.54
25,105226869.04810357,40331.4404,10.12,8.92
26,82432370.5950943,24927.4538,9.988333333333333,10.32
27,28115419.727679312,51875.7904,10.011666666666667,3.29
28,111675524.16082811,820996.224,10.298333333333334,9.69
29,780832.8254503906,2419319426.2528,10.135,9.74
30,13530644.459121581,738895.584,10.266666666666667,9.8
31,34792610.9562541,148996.8768,9.943333333333333,9.59
32,14275405.374642415,252905.8096,10.173333333333334,10.04
33,5648777.731104786,1321241.088,10.2,7.39
34,16425256.458639324,583919.8272,9.861666666666666,10.22
35,16735877.745920915,50400.472,10.191666666666666,9.48
36,2200260.1194680175,63676.158,9.978333333333333,10.09
37,1867183193.2918353,918684.0832,10.085,12.43
38,17269325.14659243,103026.5656,9.976666666666667,13.13
39,425330551.8609922,8527699.9168,10.183333333333334,8.92
40,5347926.190871924,179385.4704,10.101666666666667,9.74
41,403377396.94548905,54602.8208,9.981666666666667,9.58
42,210503420.7441692,60915.6164,10.013333333333334,10.09
43,1819185968.6111822,44240.04,10.33,10.33
44,16202962.363099903,28025.0648,10.153333333333334,9.82
45,60872618.714902245,115304.424,10.17,10.29
46,31989942.59434668,59479097.7536,10.123333333333333,9.59
47,7851940.171821354,205770.4832,10.003333333333334,8.93
48,583289931.0133176,1426925.6576,10.156666666666666,10.31
49,122047749.00979313,210195.208,10.043333333333333,10.65
50,299508445.91632974,20493.759,10.195,9.24
51,165098063.60418996,163598.5024,10.03,7.64
52,963223726.6321793,2039481.6768,10.221666666666666,13.51
53,96737535.4410773,2134751.9488,10.125,7.77
54,11038525.894827735,105597781.6064,10.168333333333333,12.73
55,385822978.5510386,470433.7344,10.2,11.35
56,76681500.10969733,17626014.9248,10.058333333333334,8.98
57,3359889.39353584,1386894.6176,10.303333333333333,12.96
58,7833911.555246256,105408.68,10.203333333333333,9.53
59,13238446.964733984,478363.152,10.33,12.37
60,10086227.232086817,529506.752,10.216666666666667,10.75
61,188070286.00425592,316735.152,10.196666666666667,10.09
62,948124576.8488055,16726269.952,9.95,10.32
63,629833734.6767199,1163561.0496,10.223333333333333,12.63
64,22878122.29533828,3996571.52,10.361666666666666,8.31
65,79887799.25731435,2846001.6384,10.13,9.17
66,869293401.198097,121491.232,10.151666666666667,8.15
67,59640501.35590934,2792847.4368,10.281666666666666,9.58
68,18528753.6065709,24023.7586,10.203333333333333,9.27
69,1038158138.7918007,135943.7096,10.336666666666666,5.21
70,59079340.42401865,1054933.952,10.218333333333334,9.58
71,9596035.845280338,1307699.008,10.123333333333333,8.92
72,5680286.797507161,153884.5376,10.201666666666666,9.0
73,137899029.69562864,875957.1904,9.996666666666666,5.76
74,2846659.782589486,343520.688,10.311666666666667,10.1
75,68349972.51816683,140422.48,10.256666666666666,7.27
76,4493983004.383643,121959.7632,10.021666666666667,10.68
77,3501762.966435742,482430.6144,10.331666666666667,10.1
78,13147864.781980371,56553.958,10.268333333333333,11.36
79,28456134.184960708,4813945.3952,9.855,10.24
80,714878.061579362,64826.596,10.18,5.87
81,179020484.77581003,34801.6598,10.271666666666667,9.58
82,4171893.819590267,85952.2344,10.37,8.98
83,13287155.63740332,134061.848,10.093333333333334,9.82
84,4554571.627790593,220621.6176,10.245,9.2
85,752941442.0439203,591180.6912,9.968333333333334,10.61
86,271438009.1292146,95961.6456,10.43,10.09
87,2849028188.3727655,631409.1008,10.303333333333333,10.1
88,39364045.472884245,321833740848.3328,10.146666666666667,10.28
89,62322302.7011237,68941.952,10.043333333333333,9.58
90,9793876240.84445,923961.1328,10.36,12.37
91,30347799.61481797,706485.4272,10.191666666666666,11.81
92,84668746.83288428,147382.216,10.341666666666667,10.3
93,19347682.77183672,2198601.4336,9.878333333333334,7.3
94,158242015.9788011,1634562.0736,10.175,10.32
95,171629.0103746745,88235.5944,10.36,11.32
96,422085555.61718976,156331.6208,10.193333333333333,11.57
97,78241084.31813008,147108.7696,10.265,10.09
98,195731763.82331088,3168909.312,10.145,9.89
99,4734705224.704737,543792.7008,10.511666666666667,8.03
