,test/loss,test/accuracy@1,train/loss,train/accuracy@1
0,1.003044263124466,64.15,1.393326462687129,49.858
1,0.8802894288301468,68.79,0.9517308424805742,66.054
2,0.7105272901058197,75.64,0.7654954313926989,73.042
3,0.6973721793293953,76.69,0.6537450347715021,77.096
4,0.5538607117533684,81.03,0.5753653604356225,79.942
5,0.5523539343476296,80.85,0.5123247597985865,81.99
6,0.5541444331407547,81.68,0.46111004751966433,84.11
7,0.4965036350488663,83.11,0.4174364742720523,85.39
8,0.49759999305009844,83.25,0.38466758919341487,86.68
9,0.4719919487833977,84.6,0.3523170510902429,87.782
10,0.4766373214125633,84.22,0.3234767527379038,88.798
11,0.4634160554409027,84.84,0.2965109510266263,89.69
12,0.451656337082386,85.15,0.2794518107572175,90.096
13,0.43751514673233033,85.94,0.253594810548036,91.2
14,0.44685692131519317,86.05,0.2404891518909303,91.678
15,0.45984665349125864,85.82,0.2199690547173895,92.408
16,0.4233371540904045,86.78,0.20510969570149545,92.82
17,0.41657631903886794,86.78,0.19220933941242946,93.306
18,0.4152001331746578,87.28,0.1810013323907962,93.672
19,0.46297290608286856,86.35,0.16704104842660983,94.182
20,0.43115492925047877,87.04,0.16470700863491544,94.316
21,0.4461741255223751,86.73,0.1467120017275176,94.87
22,0.44764179348945615,86.97,0.1419647429138422,95.03
23,0.4778355485200882,86.28,0.1381160868212695,95.192
24,0.45231931999325753,86.99,0.13071326263096478,95.4
25,0.4737392768263817,87.16,0.12050895055141443,95.802
26,0.46280718460679054,87.38,0.11703922710074183,95.882
27,0.4494330270588398,87.68,0.1131282571102957,96.082
28,0.4727886337041855,87.22,0.10561711369725445,96.374
29,0.479138196259737,86.92,0.1043491700278295,96.31
30,0.4696362991631031,87.39,0.09744908939332456,96.602
31,0.46311771050095557,87.85,0.09437114736803658,96.82
32,0.4753066685795784,87.34,0.09016777229640642,96.874
33,0.4537984997034073,87.51,0.091151353591086,96.906
34,0.4787500156462193,87.37,0.08868512022725837,96.902
35,0.47003942370414736,87.66,0.08751825793453342,96.868
36,0.4589121372997761,87.57,0.08626934706621692,97.066
37,0.45386037915945054,87.84,0.08247298078463815,97.196
38,0.4683468595147133,87.96,0.07684672767501277,97.426
39,0.4810145452618599,87.61,0.07747733416726522,97.288
40,0.4131634150445461,89.44,0.0455259212311786,98.5
41,0.4139411124587059,89.63,0.030730953232844926,98.984
42,0.4248692209273577,89.73,0.024402392919763656,99.22
43,0.4293874386698008,89.72,0.020944406102170878,99.348
44,0.4418261029571295,89.75,0.01787540500702532,99.424
45,0.4417190167307854,89.88,0.016960171071569555,99.444
46,0.4478955043107271,89.81,0.014962199589033918,99.504
47,0.4512413476407528,89.86,0.013589236959148094,99.556
48,0.45141079038381576,89.92,0.013512293705145074,99.562
49,0.4598409831523895,89.94,0.011939477224749705,99.626
50,0.45673589028418066,89.97,0.010917800277366739,99.674
51,0.45731883503496645,90.04,0.009326404592384348,99.712
52,0.45797093972563746,90.05,0.009917885536248165,99.68
53,0.45833010323345663,90.03,0.010537309465361784,99.678
54,0.4574578474462032,90.03,0.009772718114697414,99.682
55,0.45786373801529406,90.06,0.009912515592063442,99.698
56,0.4607345451414585,90.1,0.010563122335231274,99.672
57,0.4570865382999182,90.05,0.010694239804100798,99.694
58,0.45988126151263714,90.12,0.009832976802932266,99.716
59,0.4613179487735033,90.1,0.009268129422493717,99.738
