,test/loss,test/accuracy@1,train/loss,train/accuracy@1
0,1.1527050441503526,58.4,1.5449143288385532,42.96
1,0.9121453070640564,66.97,1.0830299611896506,61.15
2,0.8282372373342514,70.84,0.9000047763900074,68.182
3,0.700124594271183,75.36,0.7694286487596419,73.026
4,0.6515537321567535,76.76,0.6789032812313656,76.182
5,0.6106956359744072,79.26,0.611904036434715,78.498
6,0.5930773049592972,79.62,0.5554789507480533,80.5
7,0.5400936535000801,81.36,0.5129795477670782,82.054
8,0.5363349089026451,81.76,0.4771455792362428,83.454
9,0.5028095048666,82.46,0.4448133643783267,84.564
10,0.49839958757162095,83.33,0.41377902579734394,85.576
11,0.4732932311296463,83.79,0.3932096907092482,86.302
12,0.46604731351137163,84.17,0.36870519633945603,87.068
13,0.49093040838837626,83.33,0.34324814085765265,88.024
14,0.45464381903409956,84.62,0.3304004208815982,88.488
15,0.4808631625771522,84.18,0.3148028111595022,88.952
16,0.46676155507564543,85.04,0.294495223104344,89.68
17,0.45422717854380606,85.14,0.27831295426087,90.25
18,0.47119463980197906,84.86,0.26435326904896883,90.662
19,0.4668524913489819,85.23,0.2554919027039767,90.988
20,0.442054510563612,86.23,0.24295231869534764,91.486
21,0.4474713212251663,86.01,0.2321099054516124,91.898
22,0.46360992416739466,85.95,0.22456930168068318,92.07
23,0.45846316307783125,85.85,0.21208743347078943,92.516
24,0.4712715646624565,85.27,0.20396243455007557,92.838
25,0.42269738733768464,86.32,0.19448928477819008,93.112
26,0.4373171792924404,86.55,0.19206146767262913,93.242
27,0.4449820637702942,86.65,0.18205557404386113,93.616
28,0.48012424767017364,85.88,0.17595359114239284,93.736
29,0.4399235048890114,86.81,0.16999132630160396,94.042
30,0.47479511201381686,86.57,0.1661630339653748,94.082
31,0.4422856692969799,86.5,0.1625489824739716,94.172
32,0.43285670056939124,87.01,0.1567584117755408,94.448
33,0.45654778406023977,86.82,0.14992500516726537,94.612
34,0.46517149329185487,86.6,0.14854604913793562,94.774
35,0.45355266854166987,86.94,0.14446315579021068,94.758
36,0.46571206346154215,86.63,0.13667359523227451,95.136
37,0.4691317243874073,86.64,0.13571678539333137,95.08
38,0.44024784341454504,86.94,0.13509132499661286,95.13
39,0.47992681339383125,86.58,0.1295654476308228,95.454
40,0.4324504417181015,88.39,0.06882990404601445,97.586
41,0.4399259103834629,88.51,0.04824561814603674,98.35
42,0.45102602899074556,88.74,0.039573896470267676,98.706
43,0.4548061740398407,88.78,0.0358306869907338,98.824
44,0.46119982495903966,88.69,0.0318566990136157,99.008
45,0.47111020386219027,88.84,0.02838867002755137,99.064
46,0.4761724805831909,88.79,0.02638808839782939,99.174
47,0.4823580670356751,88.94,0.02466786903200571,99.216
48,0.48802989900112154,88.91,0.02282194084996391,99.236
49,0.4904461759328842,88.81,0.021813882924074456,99.276
50,0.48699741572141647,88.96,0.01929778240316207,99.372
51,0.4870953868329525,88.98,0.01751759071486628,99.446
52,0.4883443732559681,89.0,0.018531700322592673,99.448
53,0.4906610219180584,88.95,0.017337455155204056,99.466
54,0.49263861373066903,88.97,0.01595090851163887,99.51
55,0.494518228918314,88.97,0.016425853771398134,99.506
56,0.4954733772575855,89.03,0.016805486267675526,99.47
57,0.49555634558200834,89.03,0.016744807652254945,99.508
58,0.4951010473072529,89.06,0.01612555779560762,99.526
59,0.49608286529779433,89.11,0.01735922397719339,99.408
