,test/loss,test/accuracy@1,train/loss,train/accuracy@1
0,1.2899442112445831,52.8,1.6405846737229917,39.668
1,1.0635366517305374,62.13,1.2279749209313746,55.47
2,0.8942746150493622,68.85,1.0243050459095888,63.624
3,0.838818090558052,70.28,0.8755768388128646,68.968
4,0.7696693789958954,72.61,0.7888540028001342,72.322
5,0.7067018201947213,75.31,0.7095881532067838,75.25
6,0.6370826244354248,78.0,0.661187138703778,76.866
7,0.6255464398860932,78.52,0.6060197647575223,78.938
8,0.5631576570868492,80.89,0.5688241791847112,80.182
9,0.6061706933379173,79.48,0.5334119533029054,81.41
10,0.5415430694818497,81.51,0.5018515216420069,82.536
11,0.5395372280478478,81.95,0.4728768736962467,83.554
12,0.5143267458677292,82.31,0.44939685477625074,84.188
13,0.4909752580523491,83.39,0.4257262392574564,85.012
14,0.5058466136455536,82.82,0.4086872488641373,85.828
15,0.4719750812649727,83.91,0.3925125770023107,86.376
16,0.49573017746210096,83.04,0.3703266449291688,86.896
17,0.48501324862241746,84.06,0.355278632715535,87.54
18,0.48904795140028,83.77,0.3458376746348408,87.81
19,0.4525025637447834,84.98,0.3241640138809028,88.588
20,0.47471275717020034,84.36,0.31474844322485085,88.958
21,0.48888215571641924,84.12,0.299190429546644,89.462
22,0.46471469312906266,84.33,0.2878017388951138,90.002
23,0.4760079100728035,84.49,0.27521849490340106,90.464
24,0.4455402939021587,85.66,0.2707623633201165,90.472
25,0.4519083619117737,85.62,0.26083267017093764,90.88
26,0.45921407341957093,85.13,0.2406612899144897,91.68
27,0.44892027735710144,85.75,0.23772210269556632,91.636
28,0.5058839078247547,85.19,0.22695804227267385,92.128
29,0.47696612745523453,85.51,0.22279600901981753,92.154
30,0.441318724155426,86.53,0.21144568378015247,92.592
31,0.43723467871546745,86.67,0.20453364876530056,92.722
32,0.4592905078828335,86.51,0.20106826251958643,93.004
33,0.45062205448746684,85.72,0.19251908062745238,93.196
34,0.4904616710543632,85.31,0.18683923721847023,93.374
35,0.4246424692869186,87.29,0.1842729806366479,93.618
36,0.45610113829374316,86.04,0.172873872968242,93.93
37,0.42330186247825624,87.3,0.16526557721407212,94.202
38,0.452209957242012,87.06,0.16329882281553715,94.308
39,0.44052849024534224,87.25,0.15977544331794505,94.49
40,0.4076994100213051,88.59,0.08783732630464884,97.006
41,0.4146854931116104,88.67,0.07073489873362776,97.668
42,0.41967363610863684,88.63,0.06250090781322983,97.918
43,0.4356899661570787,88.67,0.05622788371942233,98.174
44,0.43202671602368353,88.88,0.054399203356650785,98.2
45,0.4365937742590904,88.91,0.049238121962351035,98.414
46,0.4465000426024199,88.89,0.047421724334254366,98.492
47,0.44276536732912064,88.86,0.04512970183101837,98.506
48,0.4512121341377497,89.08,0.04338423560714097,98.632
49,0.45653695955872536,88.84,0.04292957466143324,98.66
50,0.45207319721579553,88.97,0.038174795032100146,98.756
51,0.45331647619605064,88.95,0.03629100161230625,98.88
52,0.4538979823887348,88.87,0.03522090516898714,98.842
53,0.45401936523616315,88.86,0.03624182744570972,98.81
54,0.4542143113166094,88.8,0.035180163753154636,98.88
55,0.45579143807291983,88.96,0.03423893835771915,98.936
56,0.455325750336051,88.87,0.03637778548204609,98.842
57,0.45711953125894067,88.75,0.035489902556504666,98.868
58,0.45730460837483405,88.93,0.032383606051001934,99.026
59,0.4581431670486927,88.93,0.03302743183830015,98.95
