,test/loss,test/accuracy@1,train/loss,train/accuracy@1
0,1.3172569572925568,52.66,1.652938694295371,38.726
1,1.0500525403022767,63.12,1.229804093423097,55.682
2,0.909587190747261,67.77,1.0192376289831098,63.774
3,0.8114410263299942,71.06,0.878655394019983,68.956
4,0.7059402513504028,75.56,0.7907288881671398,72.426
5,0.6638679131865501,77.5,0.7125417507060653,74.894
6,0.6667741012573242,76.88,0.6558191957681075,77.142
7,0.5861892393231392,79.75,0.6089083771876362,78.736
8,0.5971892377734185,79.67,0.5749386225819892,79.898
9,0.5326368102431297,81.56,0.5370769059414144,81.166
10,0.5626154321432114,80.59,0.5042156395323746,82.34
11,0.5229437413811684,81.89,0.47950589169016883,83.254
12,0.5598042923212051,81.33,0.45129060897680806,84.088
13,0.5326593312621116,82.08,0.42774351973972663,85.254
14,0.5262104213237763,82.5,0.4113112389279144,85.71
15,0.486904875934124,83.5,0.39697916504672115,86.186
16,0.4891810005903244,83.63,0.3721715047231416,87.07
17,0.45803398460149763,84.35,0.3555645970889674,87.644
18,0.4821210357546806,84.28,0.33811636429156183,88.378
19,0.4697393572330475,84.45,0.3217651617648961,88.784
20,0.44949270367622374,85.21,0.3122123089973884,89.038
21,0.5251471069455147,82.6,0.3013821180023806,89.488
22,0.465747122168541,84.67,0.290162018440721,89.882
23,0.4815697152912617,85.05,0.2708312263307364,90.458
24,0.45456027120351794,85.49,0.26510899908402386,90.868
25,0.4693368585407734,85.37,0.2530609561925959,91.252
26,0.5088851502537728,84.17,0.24772969774349266,91.274
27,0.4573305229842663,86.13,0.23340653231762865,91.816
28,0.4549105726182461,85.92,0.22709251467681602,92.136
29,0.48899194583296773,85.09,0.22123679297659404,92.222
30,0.49528275907039643,85.78,0.2125523252903348,92.588
31,0.46568043798208236,86.18,0.2043883150724499,92.874
32,0.5223997542262078,85.07,0.20113268582259908,92.966
33,0.4597629624605179,86.77,0.19102661747037603,93.23
34,0.4679769715666771,85.49,0.1877784191075798,93.392
35,0.4383152665197849,86.59,0.18320551525105905,93.628
36,0.463983995616436,86.45,0.17507739464187866,93.92
37,0.43571717500686646,86.65,0.16844454037068446,94.076
38,0.4309207248687744,86.79,0.1648032767102694,94.348
39,0.4421813303232193,86.99,0.15912306583141123,94.376
40,0.4085542134940624,88.53,0.08740591976667761,97.164
41,0.4138700069487095,88.54,0.06922763666552503,97.79
42,0.42597274407744407,88.58,0.06394516280078141,97.918
43,0.43393509969115257,88.57,0.0563645591540143,98.14
44,0.44123548522591594,88.59,0.05345104104312866,98.256
45,0.44863704666495324,88.57,0.049113183228723,98.47
46,0.4553346946835518,88.61,0.047098947712756176,98.474
47,0.4533791147172451,88.52,0.0461067471133969,98.52
48,0.4524362298846245,88.55,0.04503790836643113,98.526
49,0.4662908533215523,88.42,0.04144558043736021,98.686
50,0.4596799322962761,88.75,0.03771895163661569,98.888
51,0.45995702043175696,88.77,0.036466879751104526,98.84
52,0.4599788424372673,88.73,0.03470144444085715,98.928
53,0.45988847404718397,88.83,0.03472839505471232,98.918
54,0.4602334217727184,88.73,0.0357858982434987,98.872
55,0.4609854455292225,88.67,0.03412696517541852,98.948
56,0.46102914184331895,88.75,0.03347622481224787,98.98
57,0.4615709473192692,88.71,0.03571982444156809,98.87
58,0.46137280941009523,88.73,0.03439931361876485,98.912
59,0.46337582036852837,88.65,0.03287523215674722,98.976
