,test/loss,test/accuracy@1,train/loss,train/accuracy@1
0,1.2663461017608642,54.08,1.6582943201065063,39.726
1,0.9865055155754089,64.32,1.1466260067642193,58.778
2,0.9011573296785355,68.67,0.9367742873823551,66.946
3,0.7261926460266114,74.63,0.8097488628628918,71.458
4,0.669424701333046,76.83,0.7222117431023541,74.794
5,0.6054859265685082,78.99,0.6652277695096057,76.766
6,0.6535473906993866,77.78,0.6180176203665526,78.512
7,0.5994788107275962,79.86,0.5734771101371102,80.092
8,0.567898471057415,80.38,0.5478512695073472,81.014
9,0.5644649043679237,81.32,0.5056356700789898,82.404
10,0.5329503294825554,81.53,0.4820505103949086,83.176
11,0.5056633855402469,82.82,0.4592024939291922,84.026
12,0.526723937690258,82.38,0.42987661902099616,85.078
13,0.4942583802342415,83.75,0.4124668735601103,85.612
14,0.48500834554433825,83.76,0.39803057745137177,86.2
15,0.45530262127518656,84.69,0.38342640265022093,86.604
16,0.48439667135477066,83.85,0.3652932944581332,87.37
17,0.48212528362870216,84.47,0.35082110918848713,87.728
18,0.4955692432820797,84.53,0.3407144919228371,87.928
19,0.4673738949000835,84.24,0.3240861955963437,88.612
20,0.49163589194417,84.28,0.30828867909853414,89.222
21,0.4645605245232582,85.5,0.30058773079186757,89.524
22,0.45663082242012026,86.15,0.2940409747917024,89.874
23,0.459760030657053,85.16,0.2904009088835753,89.848
24,0.4560366216301918,85.12,0.2780694578919569,90.1
25,0.44475174218416214,85.99,0.27411380032901567,90.276
26,0.515647334009409,83.83,0.26162493973970413,90.8
27,0.4610849744081497,85.36,0.25669306152693144,90.932
28,0.45972703769803047,86.51,0.24762914905234065,91.23
29,0.47932449385523795,85.56,0.2360465857378967,91.766
30,0.47295659467577933,85.45,0.23355798105068523,91.806
31,0.4381266877055168,86.16,0.230455821927856,91.898
32,0.4618978014588356,85.84,0.2272206257523783,92.052
33,0.4457415692508221,86.23,0.22165564765863102,92.1
34,0.4731756372749805,85.57,0.20942482889613226,92.676
35,0.48557444334030153,85.0,0.2110940371747212,92.676
36,0.4572872969508171,85.89,0.20263256527045193,92.93
37,0.4914176642894745,86.11,0.2013769454663367,92.982
38,0.46134637251496313,85.99,0.19488053967047225,93.124
39,0.4737451294064522,86.07,0.1935825191838357,93.15
40,0.4095802676677704,88.02,0.10752472386259557,96.294
41,0.4208304323256016,88.29,0.08758552435337735,97.034
42,0.4336996315419674,88.32,0.07735061575956356,97.314
43,0.4259462630748749,88.51,0.07132475085728004,97.54
44,0.4266312062740326,88.39,0.06954269415563177,97.664
45,0.4226354104280472,88.55,0.06522109689634017,97.766
46,0.4328662903606892,88.52,0.05938770794940879,98.058
47,0.44013718128204343,88.7,0.058524602978869016,98.108
48,0.44280200682580473,88.69,0.055898708829661005,98.17
49,0.44253563359379766,88.7,0.05373307039051333,98.22
50,0.4424965833127499,88.73,0.04829032371378006,98.432
51,0.4457250899076462,88.77,0.0459484030204394,98.45
52,0.4450245562195778,88.78,0.048104570147193146,98.48
53,0.4491913428902626,88.76,0.04685394755562248,98.53
54,0.44983985617756844,88.74,0.04637620481602905,98.442
55,0.4502986781299114,88.76,0.046018332228674304,98.476
56,0.4510139048099518,88.84,0.045671475709408826,98.532
57,0.448426815867424,88.84,0.04647592241611437,98.496
58,0.4494613437354565,88.87,0.044441567116971975,98.606
59,0.4497984130680561,88.82,0.04578761618984554,98.532
