,test/loss,test/accuracy@1,train/loss,train/accuracy@1
0,1.1909013468027114,57.8,1.595200898092421,41.956
1,0.9725224351882935,65.09,1.1122847676582044,60.502
2,0.8041718882322312,71.88,0.910865707775516,67.886
3,0.7376685202121734,74.68,0.7915142277622467,72.128
4,0.6941652533411979,75.77,0.701350203331779,75.392
5,0.651112272143364,77.3,0.6412096284996823,77.556
6,0.6546763032674789,77.15,0.5985909045657234,79.14
7,0.6190598940849305,78.44,0.5598109905677073,80.352
8,0.5404974871873856,81.62,0.5236175176127792,81.892
9,0.5480283144116401,81.48,0.494625816107406,82.728
10,0.5296024003624916,82.08,0.4713021219157807,83.732
11,0.5090914443135262,82.78,0.4478535997440748,84.48
12,0.49237430691719053,83.53,0.42085843474206414,85.326
13,0.49308409452438356,83.27,0.394590793401384,86.218
14,0.47848342642188074,83.98,0.3873201080447877,86.426
15,0.47328547105193136,84.39,0.3701364780630907,87.1
16,0.48380060091614724,83.94,0.3543301186979274,87.65
17,0.4571243546903133,84.82,0.3404455621300451,88.03
18,0.5063207587599754,83.67,0.3332709521817429,88.476
19,0.4627958905696869,84.91,0.3154361171795584,89.046
20,0.4357435181736946,85.69,0.29636794322973015,89.542
21,0.43807197973132134,85.26,0.29668979038058035,89.612
22,0.45284069418907164,85.47,0.27757452024370816,90.454
23,0.45835549384355545,85.72,0.27456185781894743,90.41
24,0.4715774820744991,84.68,0.26949998458175706,90.508
25,0.4320252077281475,86.06,0.2587308663960613,90.898
26,0.45763773649930956,85.32,0.24479745867688332,91.46
27,0.4459294080734253,84.9,0.2455727140921766,91.312
28,0.48295900732278824,85.59,0.23391281914375628,91.754
29,0.44414826184511186,86.06,0.23259447198694624,91.846
30,0.46327397629618644,86.33,0.22682545754267736,92.108
31,0.4742523828148842,86.35,0.22470978521706197,92.15
32,0.46621437311172487,85.45,0.21362412025404098,92.572
33,0.4592117559909821,85.63,0.2067260366990743,92.704
34,0.46448527902364733,86.12,0.20685099316832353,92.696
35,0.41911640837788583,86.98,0.20296033064041602,92.852
36,0.4593986013531685,86.23,0.19410043630910956,93.16
37,0.4573660932481289,86.57,0.18934466417335793,93.328
38,0.4375592285394669,86.58,0.18852602854332962,93.332
39,0.4528300642967224,86.59,0.18510350642149406,93.448
40,0.41663745895028115,88.48,0.10507220000771762,96.47
41,0.41014725759625437,88.77,0.08216877153043246,97.206
42,0.4189501567184925,88.74,0.07496308921562399,97.502
43,0.41256567314267156,88.92,0.06893169802263417,97.686
44,0.4268141587078571,88.93,0.06390339082292736,97.874
45,0.4358621393144131,88.76,0.060480023565156686,98.0
46,0.4342755150794983,88.89,0.05837607586546741,98.044
47,0.43300052002072337,88.69,0.05346028191154189,98.212
48,0.43786661893129347,88.87,0.05305746035731357,98.256
49,0.43561459437012673,88.91,0.05422671184734539,98.214
50,0.4370862041413784,89.0,0.046120638423182474,98.554
51,0.43899489507079126,89.13,0.044533548787321964,98.58
52,0.4398320086300373,89.16,0.04427282780508899,98.568
53,0.43970059424638747,89.1,0.044447210117164626,98.492
54,0.44128108933568,89.14,0.04499053513950399,98.558
55,0.4410776424407959,89.07,0.045011027580331965,98.532
56,0.44272677078843115,89.11,0.04374608177872722,98.572
57,0.443462427854538,88.99,0.04265600838877089,98.622
58,0.4434221559762955,89.03,0.04400262016031291,98.562
59,0.4442646525800228,89.02,0.041176417685302016,98.688
