,train_loss,test_loss,train_acc,test_acc
9,0.0006602034710313698,0.03548063182830811,98.635,98.83
10,0.000719270741660633,0.03277403964996338,98.52166666666666,98.96
11,0.000678654237560113,0.03649698524475098,98.58,98.91
12,0.0006382989772335956,0.029587202453613282,98.675,99.13
13,0.0006134026246218127,0.031672481155395504,98.7,99.11
14,0.0006705612365015744,0.041472019386291505,98.645,98.75
15,0.0006766526258346857,0.09779586791992187,98.57666666666667,97.04
16,0.0006399573646267526,0.03539145317077637,98.685,98.77
17,0.0006361806186454487,0.03000375576019287,98.66166666666666,98.95
18,0.0005668860198350255,0.03235583572387695,98.80666666666667,99.09
19,0.0005915105877411406,0.030126250076293944,98.815,99.05
20,0.0005729093331460414,0.03950516052246094,98.81166666666667,98.87
21,0.0005890985008241841,0.033622695541381836,98.77,99.0
22,0.0005400054616788112,0.03916183452606201,98.83833333333334,98.82
23,0.000628850569262795,0.03492955474853516,98.68166666666667,98.95
24,0.0005649103689657446,0.028861103534698486,98.82,99.1
25,0.0005122004722027971,0.028078160285949706,98.915,99.13
26,0.0005779222654124169,0.03903596611022949,98.79833333333333,98.92
27,0.0006786176521459614,0.041330174827575686,98.62666666666667,98.7
28,0.0007868946291021226,0.03140010194778443,98.385,99.11
29,0.000690462510442012,0.04591382293701172,98.605,98.46
30,0.000652072195190461,0.02798548741340637,98.68166666666667,99.15
31,0.0005365118647733955,0.028481985664367677,98.86166666666666,99.12
32,0.000649639905650353,0.03092098512649536,98.64166666666667,98.92
33,0.00054585396817547,0.04113042697906494,98.85166666666667,98.72
34,0.0007327579646060864,0.028181005096435546,98.465,99.11
35,0.0005131331346866015,0.0330454740524292,98.95,99.03
36,0.0006684509044751583,0.03054644775390625,98.65166666666667,98.98
37,0.0007369970749544639,0.03183305530548096,98.42833333333333,98.99
38,0.000777077669475572,0.03512325630187988,98.42666666666666,98.94
39,0.0005584480317621759,0.04254551010131836,98.81166666666667,98.6
40,0.0005017776273376209,0.02413350133895874,98.975,99.15
41,0.0007459721960544509,0.055587250137329104,98.555,98.58
42,0.0007721936977154352,0.04099310703277588,98.38,98.74
43,0.0012739627274189842,0.03728249568939209,97.355,98.81
44,0.0007847223514813473,0.06525405197143555,98.42166666666667,98.15
45,0.0011740085458674001,0.038893029022216793,97.61,98.78
46,0.0009118394214813937,0.03362088623046875,98.05333333333333,98.86
47,0.0008544585351531472,0.04705210838317871,98.285,98.5
48,0.0007242444787652251,0.03260919723510742,98.535,98.92
