,test/loss,test/accuracy@1,train/loss,train/accuracy@1
0,3.139200356006622,23.61,3.7213773709124007,13.448
1,2.632192840576172,32.74,2.932374589583453,26.886
2,2.3611449682712555,38.91,2.485896025777168,35.604
3,2.1076939034461977,43.66,2.188289961851466,42.286
4,1.9815355002880097,47.61,1.9760563544300207,46.46
5,1.8956431639194489,49.85,1.7856002049068052,51.202
6,1.8367601215839386,51.38,1.6124674097046523,55.11
7,1.7818645226955414,52.64,1.4936969688786266,58.032
8,1.7257609033584596,54.68,1.3623295446186114,61.324
9,1.788515340089798,53.21,1.257975779226064,63.874
10,1.7677195489406585,54.67,1.1651897322186424,65.998
11,1.746128749847412,54.36,1.075582067679871,68.338
12,1.7536005198955535,55.91,0.9987604259834875,70.314
13,1.7870767426490783,55.21,0.9232324991384735,72.352
14,1.75072580575943,56.46,0.8532333117921639,74.126
15,1.851465859413147,55.09,0.7931444563371751,75.894
16,1.8722155010700225,56.17,0.738217560912642,77.4
17,2.0361858975887297,55.07,0.6876062304162613,78.722
18,1.933630656003952,56.73,0.6410443331579418,80.128
19,1.9018028843402863,57.28,0.6029878916490413,81.078
20,2.0125287163257597,55.07,0.5649020865445247,82.082
21,2.013004176616669,56.57,0.5273660637076248,83.376
22,2.0047373366355896,56.69,0.5054361125087494,83.774
23,2.0074145436286925,55.72,0.4789360383968524,84.906
24,1.9812079632282258,57.4,0.46264985622957233,85.218
25,2.085421578884125,56.74,0.4324161885949352,86.352
26,2.0623166191577913,56.72,0.4080513474886375,86.764
27,2.2309496653079988,55.93,0.3992491452132954,87.112
28,2.194801241159439,56.81,0.3854787192305031,87.836
29,2.236855639219284,57.39,0.3684469286514365,88.244
30,2.1794267332553865,56.44,0.35294745633821656,88.702
31,2.240504012107849,57.42,0.343704314259312,89.022
32,2.224158389568329,56.62,0.3321253283859214,89.298
33,2.365622863769531,57.01,0.31463081984187635,89.88
34,2.3440289545059203,57.21,0.3099683892658299,89.962
35,2.349815720319748,54.49,0.3035159440868346,90.176
36,2.33917321562767,57.45,0.30110580083506794,90.334
37,2.391322327852249,56.6,0.2854246047261121,90.988
38,2.3413111507892608,57.52,0.28809047562768086,90.8
39,2.147864453792572,56.88,0.283664372056494,90.842
40,2.4709235775470733,60.33,0.13018902481707464,95.86
41,2.7030279195308684,60.29,0.07601105725950064,97.632
42,2.7317102444171906,60.49,0.06150859360680785,98.042
43,2.95029839515686,60.89,0.046886065885510364,98.526
44,2.992574863433838,61.15,0.042675331064626155,98.63
45,3.058769689798355,60.76,0.03596835042429788,98.858
46,3.1407105708122254,60.91,0.03208033923450333,98.908
47,3.2505371415615083,61.11,0.029672999632285188,99.068
48,3.1794524598121643,61.13,0.027664220548006217,99.166
49,3.3051117515563964,61.07,0.02350127692852417,99.264
50,3.376375856399536,61.19,0.021320875642536555,99.35
51,3.401605876684189,61.04,0.01846981653258862,99.408
52,3.4393193078041078,61.2,0.018372733627095857,99.412
53,3.409032407999039,61.26,0.020454083997494234,99.344
54,3.4410358476638794,61.32,0.01795981970892283,99.444
55,3.3952599501609804,61.37,0.019125059897573116,99.418
56,3.419241050481796,61.3,0.01739878152185084,99.464
57,3.4866185188293457,61.34,0.016577466503571708,99.484
58,3.542872059345245,61.23,0.016511781014325787,99.494
59,3.509497895240784,61.26,0.01724252563170598,99.406
