,test/loss,test/accuracy@1,train/loss,train/accuracy@1
0,3.1005593276023866,23.84,3.711925448664009,13.54
1,2.590550742149353,33.43,2.8816956217636536,27.562
2,2.227533473968506,41.35,2.4485069485881445,36.06
3,2.0754314887523653,44.94,2.156218722653206,43.032
4,1.9720337295532226,46.59,1.9437008007712986,47.674
5,1.8818559849262237,48.66,1.7794712696538861,51.41
6,1.9139153611660005,49.84,1.6438865655523431,54.84
7,1.7358770918846131,52.88,1.5313298653458696,57.176
8,1.7938226532936097,53.41,1.4286833265248466,59.59
9,1.6460396218299866,55.38,1.3285566998259795,62.262
10,1.6262701594829558,56.43,1.260020314732476,64.02
11,1.7620606458187102,55.07,1.1711913181082976,66.258
12,1.6134594595432281,55.83,1.1205018252667869,67.356
13,1.6399989068508147,57.27,1.0509039553839836,69.276
14,1.6063830721378327,57.23,0.9992985469301033,70.438
15,1.5532064604759217,58.3,0.9499355418907712,71.808
16,1.5669375002384185,57.7,0.9057887336787056,73.098
17,1.5889516127109529,58.31,0.855189394386833,74.486
18,1.6398373067378997,58.18,0.8055288346527177,75.86
19,1.581046195626259,57.4,0.7829499439815121,76.402
20,1.5707543087005615,58.6,0.7487999774763346,77.56
21,1.5657917046546936,58.32,0.711681389823899,78.31
22,1.6040762233734132,57.81,0.6700696918513159,79.356
23,1.6989998781681062,57.61,0.6574497183265589,79.9
24,1.6388628208637237,58.4,0.6269276022453747,80.756
25,1.7962427973747253,58.25,0.6025361706838583,81.342
26,1.8576581025123595,58.07,0.56891128344609,82.568
27,1.845384619832039,58.28,0.5475783761200088,82.95
28,1.6107587277889253,58.66,0.5483753761214674,83.236
29,1.6436740255355835,59.48,0.506086847132734,84.344
30,1.747625846862793,59.1,0.49356595352482613,84.854
31,1.7611186122894287,59.29,0.48174901161809713,85.242
32,1.766793794631958,58.3,0.4634568361598817,85.476
33,2.21147035241127,57.19,0.4577240558993786,85.9
34,1.6758421790599822,59.67,0.44485954593514543,86.142
35,2.160985699892044,57.44,0.43083732264578495,86.488
36,1.737142345905304,58.94,0.41745903634506726,87.08
37,1.855811356306076,58.25,0.3995944708585739,87.464
38,1.6630576968193054,57.41,0.4000787832166838,87.61
39,1.8173227775096894,58.89,0.38571477690925987,88.126
40,1.8222422921657562,62.69,0.17117981866116413,94.836
41,1.8429967415332795,63.08,0.11332386964574799,96.62
42,1.8522827422618866,62.9,0.08712216406641408,97.394
43,1.9414608943462373,62.95,0.07476990208353686,97.708
44,2.054518655538559,63.42,0.06738024231884866,97.912
45,2.326326050758362,63.26,0.05940807141039683,98.254
46,2.110705382823944,63.33,0.0537440209111194,98.392
47,2.171125057935715,63.53,0.04808698258841472,98.562
48,2.1405217230319975,63.81,0.04423589949422251,98.672
49,2.268094302415848,63.69,0.04226445238632352,98.718
50,2.2714070045948027,63.88,0.03435873468537503,99.028
51,2.274704097509384,63.95,0.032242305764971335,99.07
52,2.3368285155296324,63.89,0.03103463563715558,99.122
53,2.2748788380622864,63.78,0.03144041478605298,99.088
54,2.3184858536720276,63.83,0.02915591070704791,99.186
55,2.336523243188858,63.81,0.029423295601826074,99.182
56,2.4024477982521057,63.91,0.029700691016186078,99.128
57,2.340059072971344,63.94,0.027711110025206032,99.222
58,2.3842656230926513,63.93,0.027308037981529105,99.226
59,2.3424431347846983,63.9,0.02650857766342285,99.232
